timestamp,dac
0.0,0
0.2,0
0.4,0
0.6,204
0.8,5037
1.0,0
1.2,4832
1.4,1656
1.6,7379
1.8,3913
2.0,5499
2.2,5848
2.4,6550
2.6,5592
2.8,7000
3.0,9184
3.2,8051
3.4,6004
3.6,9382
3.8,6998
4.0,9681
4.2,13336
4.4,10255
4.6,13285
4.8,14433
5.0,12114
5.2,13901
5.4,14990
5.6,15928
5.8,13603
6.0,17913
6.2,17876
6.4,17849
6.6,16936
6.8,18960
7.0,18076
7.2,21035
7.4,20883
7.6,17387
7.8,18978
8.0,21237
8.200000000000001,18501
8.4,18915
8.6,23789
8.8,21774
9.0,22979
9.2,24286
9.4,25099
9.6,25395
9.799999999999999,27992
10.0,24771
10.200000000000001,24900
10.4,27322
10.6,29761
10.8,25684
11.0,29781
11.2,28591
11.4,28362
11.6,28550
11.799999999999999,33101
12.0,32075
12.200000000000001,30257
12.4,32795
12.6,32275
12.8,33339
13.0,33497
13.2,31121
13.4,34808
13.6,36589
13.799999999999999,38862
14.0,37918
14.200000000000001,34844
14.4,40597
14.6,37718
14.8,38605
15.0,39149
15.2,41524
15.4,38052
15.6,38741
15.8,41687
16.0,42332
16.2,42818
16.400000000000002,40387
16.6,45242
16.8,40403
17.0,41820
17.2,47000
17.4,45743
17.6,46808
17.8,48107
18.0,48051
18.2,45116
18.4,47809
18.599999999999998,49892
18.8,51173
19.0,49302
19.2,49617
19.400000000000002,52589
19.599999999999998,50968
19.8,53157
20.0,54638
20.2,49277
20.400000000000002,50780
20.6,56325
20.8,55454
21.0,55302
21.2,53531
21.4,53954
21.6,55628
21.8,59510
22.0,60196
22.2,54907
22.4,55370
22.599999999999998,58006
22.8,59344
23.0,61930
23.2,58312
23.400000000000002,59113
23.599999999999998,59189
23.8,60586
24.0,62110
24.2,64442
24.400000000000002,60121
24.6,65270
24.8,61163
25.0,62086
25.2,62689
25.4,65535
25.6,65535
25.8,65535
26.0,60679
26.200000000000003,64790
26.4,63099
26.599999999999998,60174
26.8,58467
27.0,62244
27.2,58366
27.400000000000002,61445
27.599999999999998,62039
27.799999999999997,60194
28.0,61391
28.2,56260
28.400000000000002,59756
28.6,54310
28.8,57259
29.0,56850
29.2,55052
29.4,56641
29.6,57416
29.8,52608
30.0,50037
30.200000000000003,51985
30.4,54839
30.599999999999998,49976
30.8,51022
31.0,51143
31.2,52971
31.4,50076
31.6,51385
31.8,48435
32.0,50124
32.2,47780
32.4,48916
32.599999999999994,46316
32.800000000000004,48840
33.0,47965
33.2,43230
33.4,45167
33.6,46495
33.8,42548
34.0,41030
34.2,39698
34.4,43086
34.6,41379
34.8,41138
35.0,38836
35.2,40439
35.4,41776
35.6,35411
35.8,39654
36.0,36932
36.2,34858
36.4,34280
36.6,39160
36.8,35004
37.0,34400
37.199999999999996,33324
37.400000000000006,30775
37.6,32406
37.8,35025
38.0,31214
38.199999999999996,31376
38.4,29621
38.6,30026
38.800000000000004,32827
39.0,32354
39.199999999999996,32158
39.4,27046
39.6,29619
39.800000000000004,27076
40.0,29900
40.2,27834
40.4,27879
40.599999999999994,23042
40.800000000000004,25478
41.0,22119
41.2,25295
41.4,21069
41.6,22663
41.8,21762
42.0,22424
42.2,20657
42.4,18338
42.6,18486
42.8,22076
43.0,20798
43.2,21899
43.4,17409
43.6,21066
43.8,15179
44.0,15987
44.2,15129
44.4,15422
44.6,16251
44.8,15076
45.0,11438
45.199999999999996,16078
45.400000000000006,10554
45.6,13451
45.8,13547
46.0,9380
46.199999999999996,9691
46.4,11303
46.6,12508
46.800000000000004,8234
47.0,11490
47.199999999999996,11310
47.4,9529
47.6,10230
47.800000000000004,5468
48.0,6277
48.2,4266
48.4,6292
48.599999999999994,4357
48.800000000000004,5362
49.0,4277
49.2,4934
49.4,3368
49.6,2874
49.8,4870
50.0,599
50.2,0
50.4,0
50.6,2396
50.8,3027
51.0,3558
51.2,2218
51.4,522
51.6,673
51.8,1791
52.0,3564
52.2,2784
52.400000000000006,4558
52.6,6837
52.8,5476
53.0,7772
53.199999999999996,5891
