timestamp,dac
0.0,30925
0.2,33821
0.4,35225
0.6,36294
0.8,38295
1.0,34286
1.2,34114
1.4,37102
1.6,41581
1.8,39702
2.0,40170
2.2,40442
2.4,40721
2.6,41106
2.8,45672
3.0,44448
3.2,41767
3.4,44204
3.6,48261
3.8,46981
4.0,45337
4.2,48871
4.4,48087
4.6,52160
4.8,50571
5.0,47984
5.2,48846
5.4,50689
5.6,54490
5.8,52254
6.0,53340
6.2,54852
6.4,55957
6.6,53087
6.8,58490
7.0,57331
7.2,59874
7.4,58833
7.6,59956
7.8,61109
8.0,61356
8.200000000000001,61384
8.4,61086
8.6,61045
8.8,57494
9.0,62576
9.2,63331
9.4,61811
9.6,59040
9.799999999999999,59186
10.0,65111
10.200000000000001,61009
10.4,64714
10.6,61585
10.8,65535
11.0,64844
11.2,65535
11.4,65535
11.6,63184
11.799999999999999,63824
12.0,64709
12.200000000000001,65506
12.4,65535
12.6,62678
12.8,63182
13.0,63674
13.2,65535
13.4,65535
13.6,65535
13.799999999999999,65535
14.0,65535
14.200000000000001,65535
14.4,65535
14.6,63244
14.8,65535
15.0,64674
15.2,63266
15.4,64655
15.6,61795
15.8,65535
16.0,64261
16.2,65535
16.400000000000002,64618
16.6,65413
16.8,62167
17.0,62390
17.2,65396
17.4,60461
17.6,63169
17.8,59817
18.0,62561
18.2,61155
18.4,59796
18.599999999999998,58978
18.8,61409
19.0,62059
19.2,61261
19.400000000000002,61690
19.599999999999998,59014
19.8,56108
20.0,58086
20.2,59607
20.400000000000002,53025
20.6,56454
20.8,56112
21.0,54847
21.2,55323
21.4,55787
21.6,54100
21.8,52870
22.0,51759
22.2,48874
22.4,52965
22.599999999999998,46679
22.8,50581
23.0,46499
23.2,47275
23.400000000000002,46600
23.599999999999998,49528
23.8,47487
24.0,41701
24.2,45198
24.400000000000002,41346
24.6,43086
24.8,41934
25.0,40810
25.2,40013
25.4,39783
25.6,38819
25.8,39721
26.0,36897
26.200000000000003,34467
26.4,36231
26.599999999999998,36714
26.8,35345
27.0,33679
27.2,31984
27.400000000000002,32391
27.599999999999998,33573
27.799999999999997,32111
28.0,29694
28.2,28430
28.400000000000002,30894
28.6,28467
28.8,24336
29.0,24520
29.2,23232
29.4,25444
29.6,25696
29.8,25571
30.0,23054
30.200000000000003,21436
30.4,18153
30.599999999999998,21910
30.8,18779
31.0,17133
31.2,19874
31.4,20125
31.6,16307
31.8,14537
32.0,12849
32.2,17274
32.4,15889
32.599999999999994,16612
32.800000000000004,12415
33.0,14727
33.2,13604
33.4,11243
33.6,14098
33.8,8636
34.0,8982
34.2,11006
34.4,11989
34.6,6852
34.8,4965
35.0,9096
35.2,5369
35.4,9235
35.6,9216
35.8,4693
36.0,5460
36.2,1477
36.4,7047
36.6,1593
36.8,1211
37.0,593
37.199999999999996,1961
37.400000000000006,5086
37.6,528
37.8,2888
38.0,3389
38.199999999999996,1484
38.4,0
38.6,3773
38.800000000000004,0
39.0,463
39.199999999999996,1828
39.4,1603
39.6,0
39.800000000000004,2241
40.0,873
40.2,2085
40.4,0
40.599999999999994,2325
40.800000000000004,0
41.0,3124
41.2,0
41.4,0
41.6,1530
41.8,0
42.0,0
42.2,2370
42.4,1858
42.6,0
42.8,2165
43.0,3962
43.2,0
43.4,0
43.6,4776
43.8,1913
44.0,706
44.2,1837
44.4,2891
44.6,4254
44.8,1119
45.0,935
45.199999999999996,5679
45.400000000000006,2378
45.6,3801
45.8,3446
46.0,7293
46.199999999999996,5296
46.4,4400
46.6,6030
46.800000000000004,7598
47.0,6545
47.199999999999996,5096
47.4,7353
47.6,6841
47.800000000000004,12811
48.0,10660
48.2,11995
48.4,13061
48.599999999999994,9484
48.800000000000004,11485
49.0,13547
49.2,13699
49.4,16363
49.6,16293
49.8,17190
50.0,13622
50.2,14906
50.4,20577
50.6,19461
50.8,16419
51.0,18305
51.2,18985
51.4,18244
51.6,20395
51.8,25522
52.0,24602
52.2,24274
52.400000000000006,22988
52.6,28368
52.8,22964
53.0,29639
53.199999999999996,24695
53.400000000000006,25539
53.6,30395
53.8,28360
54.0,28806
54.199999999999996,29049
54.4,31142
54.6,30014
54.800000000000004,30789
55.0,34073
55.199999999999996,33409
55.4,34681
55.599999999999994,34262
55.800000000000004,35944
56.0,36364
56.2,41724
56.4,38892
56.599999999999994,38071
56.800000000000004,42192
57.0,41765
57.2,43368
57.4,40165
57.6,47156
57.8,41793
58.0,44259
58.2,48276
58.4,49546
58.6,47730
58.8,46324
59.0,47575
59.2,51074
59.4,50469
59.6,48476
59.8,51731
60.0,53902
60.199999999999996,49322
60.400000000000006,54891
60.6,52631
60.8,55766
61.0,55280
61.199999999999996,54343
61.400000000000006,58718
61.6,57620
61.800000000000004,57065
62.0,55781
62.199999999999996,60344
62.4,55820
62.6,58038
62.8,57137
63.0,61398
63.2,61812
63.4,59839
63.6,61659
63.8,59736
64.0,64858
64.19999999999999,65135
64.4,65411
64.60000000000001,60382
64.8,63858
65.0,64703
65.19999999999999,62675
65.4,65535
65.60000000000001,63389
65.8,64342
66.0,62878
66.19999999999999,65535
66.4,65535
66.60000000000001,63526
66.8,61851
67.0,65535
67.2,65535
67.4,63842
67.6,64688
67.8,65535
68.0,63645
68.2,65535
68.4,65535
68.6,65535
68.8,65399
69.0,65535
69.2,62367
69.4,62705
69.6,62196
69.8,64145
70.0,65535
70.2,64202
70.4,64348
70.6,65535
70.8,63318
71.0,65535
71.2,60867
71.4,61571
71.6,60263
71.8,64699
72.0,61491
72.2,59771
72.4,62976
72.6,59230
72.8,63818
73.0,57670
73.2,60208
73.4,56700
73.6,58859
73.80000000000001,58495
74.0,59785
74.2,57104
74.39999999999999,59171
74.6,59341
74.80000000000001,59838
75.0,55299
75.2,55062
75.39999999999999,53897
75.6,55807
75.80000000000001,56484
76.0,53601
76.2,49924
76.39999999999999,53965
76.6,51443
76.8,52735
77.0,51601
77.2,49579
77.39999999999999,49667
77.60000000000001,50562
77.8,50421
78.0,46612
78.2,47677
78.39999999999999,44489
78.60000000000001,42719
78.8,47283
79.0,44538
79.2,43415
79.39999999999999,44599
79.60000000000001,39363
79.8,37367
80.0,42763
80.19999999999999,39505
80.4,36859
80.60000000000001,39523
80.8,37360
81.0,34816
81.19999999999999,34948
81.4,35696
81.60000000000001,36505
81.8,30880
82.0,30391
82.19999999999999,34495
82.4,29643
82.60000000000001,28706
82.8,27044
83.0,26155
83.2,27791
83.4,28733
83.6,26976
83.8,23101
84.0,26411
84.2,24175
84.4,26571
84.6,23938
84.8,23017
85.0,21971
85.2,23087
85.4,21656
85.6,20547
85.8,19256
86.0,16894
86.2,16123
86.4,13184
86.6,14545
86.8,13502
87.0,13944
87.2,11958
87.4,16245
87.6,10504
87.8,9507
88.0,10846
88.2,10360
88.4,8608
88.6,6819
88.8,9517
89.0,8616
89.2,11286
89.39999999999999,4966
89.6,6172
89.80000000000001,3907
90.0,3158
90.2,4173
90.39999999999999,4903
90.6,2470
90.80000000000001,6817
91.0,1327
91.2,1835
91.39999999999999,3686
91.6,5118
91.80000000000001,4246
92.0,0
92.2,4368
92.39999999999999,5206
92.60000000000001,640
92.8,3066
93.0,0
93.2,97
93.39999999999999,252
93.60000000000001,1536
93.8,3426
94.0,3495
94.2,0
94.39999999999999,0
94.60000000000001,1764
94.8,0
95.0,0
95.2,3145
95.4,0
95.60000000000001,0
95.8,1423
96.0,283
96.19999999999999,1243
96.4,921
96.60000000000001,1043
96.8,1325
97.0,0
97.19999999999999,2709
97.4,978
97.60000000000001,645
97.8,2554
98.0,1870
98.19999999999999,0
98.4,451
98.6,1519
98.8,4107
99.0,4688
99.2,2072
99.4,5240
99.6,1553
99.8,2231
100.0,6558
100.2,1545
100.4,7312
100.6,7867
100.8,2783
101.0,7306
101.2,4350
101.4,9430
101.6,4696
101.8,11384
102.0,10459
102.2,11345
102.4,12776
102.6,12582
102.8,7846
103.0,12261
103.2,10934
103.4,14347
103.6,13222
103.8,13057
104.0,17723
104.2,15656
104.4,17105
104.6,15601
104.80000000000001,16850
105.0,20957
105.2,18431
105.39999999999999,21906
105.6,21052
105.80000000000001,21423
106.0,18872
106.2,21562
106.39999999999999,22703
106.6,20644
106.80000000000001,24575
107.0,22676
107.2,26352
107.39999999999999,27976
107.6,25444
107.80000000000001,25882
108.0,28720
108.2,26812
108.39999999999999,29534
108.60000000000001,29912
108.8,30111
109.0,29804
109.2,33839
109.39999999999999,31678
109.60000000000001,34028
109.8,32684
110.0,38285
110.2,35319
110.39999999999999,37527
110.60000000000001,36861
110.8,39349
111.0,41667
111.19999999999999,38063
111.4,39863
111.60000000000001,40096
111.8,40222
112.0,43298
112.19999999999999,46613
112.4,47346
112.60000000000001,42530
112.8,44048
113.0,48006
113.19999999999999,49894
113.4,50717
113.60000000000001,48375
113.8,46483
114.0,52813
114.2,53251
114.4,51195
114.6,54134
114.8,54901
115.0,55987
115.2,52717
115.4,56121
115.6,57476
115.8,53971
116.0,52813
116.2,57874
116.4,57463
116.6,56788
116.8,60103
117.0,56461
117.2,61705
117.4,57769
117.6,62951
117.8,62152
118.0,61635
118.2,63331
118.4,63529
118.6,61523
118.8,63589
119.0,60093
119.2,64733
119.4,60209
119.6,62287
119.8,62845
120.0,60834
120.2,65501
120.39999999999999,65091
120.6,62144
120.80000000000001,62489
121.0,62434
121.2,65535
121.39999999999999,65535
121.6,65535
121.80000000000001,65535
122.0,65535
122.2,63953
122.39999999999999,65535
122.6,63021
122.80000000000001,64754
123.0,64053
123.2,65535
123.39999999999999,65535
123.60000000000001,65535
123.8,64187
124.0,65535
124.2,62880
124.39999999999999,65535
124.60000000000001,63145
124.8,65535
125.0,65535
125.2,65535
125.4,61853
125.6,63837
125.8,63428
126.0,65422
126.2,60270
126.4,61128
126.6,61671
126.8,60849
127.0,60421
127.2,59487
127.40000000000002,58632
127.6,62628
127.8,57252
128.0,60511
128.20000000000002,59818
128.39999999999998,57036
128.6,56920
128.8,55225
129.0,55089
129.20000000000002,54935
129.39999999999998,57741
129.6,56889
129.8,55863
130.0,53687
130.20000000000002,55312
130.39999999999998,52882
130.6,55947
130.8,49446
131.0,50726
131.20000000000002,48217
131.39999999999998,48781
131.6,49133
131.8,51312
132.0,51033
132.20000000000002,45284
132.39999999999998,50410
132.6,46465
132.8,47451
133.0,47031
133.20000000000002,46915
133.39999999999998,44903
133.6,40167
133.8,41140
134.0,41297
134.20000000000002,40796
134.4,39611
134.6,39629
134.8,37553
135.0,35288
135.2,35244
135.4,39717
